gig_id,title,currency,cost,search_key,,serach criteria,Average of cost
232238068_0,I will do 3d character modeling texturing using maya and blender,£,34,modelling,,modelling, £44.81 
174985651_1,I will sculpt or model anything in zbrush,£,42,modelling,,painting, £37.79 
98010785_2,I will make any kind of 3d model for 3d printing,£,68,modelling,,printing, £32.67 
83770991_3,I will do 3d models for 3d print,£,126,modelling,,,
133443619_0,I will design 3d model ready for 3d printing,£,42,modelling,,,
155038886_1,I will sculpt a 3d character or model for 3d printing,£,51,modelling,,,
163555907_2,I will sculpt high quality 3d model for 3d printing,£,34,modelling,,,
104867823_3,I will sculpt a 3d model and character for 3d printing,£,51,modelling,,,
237474046_4,I will create 3d models for printing,£,672,modelling,,,
270197400_5,I will model 3d objects for printing on blender and provide stl file,£,84,modelling,,,
153444225_6,I will prepare models for 3d printing,£,9,modelling,,,
175815482_7,"I will create 3d cad model for 3d printing,edit stl file",£,5,modelling,,,
39841700_8,I will 3d model sculpture chatacter human anime for 3d printing,£,55,modelling,,,
278341397_9,I will sculpt a 3d model ready for 3d printing,£,42,modelling,,,
189219578_10,I will sculpt the 3d model you need for 3d printing,£,17,modelling,,,
126515446_11,I will do 3d modeling for 3d printing and for games VR ar,£,42,modelling,,,
186780713_12,I will 3d product designing for 3d printing on solidworks,£,30,modelling,,,
297406829_13,"I will 3d print your files and models, then ship them to you",£,13,modelling,,,
107988124_14,"I will design anything in 3d, perfect for 3d printing and nft",£,63,modelling,,,
254478448_15,I will design and sculpt high quality 3d model for 3d printing,£,21,modelling,,,
187577920_16,I will create 3d model detail sculpture for 3d printing,£,30,modelling,,,
163687772_17,I will create a  premium quality 3d cartoon character,£,210,modelling,,,
136782302_18,I will create or edit stl model for 3d printing,£,9,modelling,,,
210195610_19,"I will do realistic 3d head, bust and full body model",£,42,modelling,,,
218044906_20,I will design 3d model of a helmet or a mask for 3d printing,£,26,modelling,,,
143386351_21,I will 3d design awesome models for 3d printing,£,30,modelling,,,
212270611_22,I will sculpt high quality models for 3d printing and cnc cutting,£,42,modelling,,,
218438265_23,I will provide 3d cad design modelling and 3d photorealistic rendering using solidworks,£,55,modelling,,,
244890078_24,"I will support your miniatures, figures for 3d printing",£,5,modelling,,,
142981338_25,"I will design 3d models for 3d printing, video games, and animation",£,42,modelling,,,
268776017_26,I will make model for 3d printing,£,26,modelling,,,
198374905_27,I will create a 3d model for 3d printing,£,30,modelling,,,
172840461_28,I will design 3d models and add supports in cura for 3d printing,£,9,modelling,,,
213781263_29,"I will fix, modify model for 3d print",£,17,modelling,,,
254257096_30,I will design your products for 3d printing and resin printing,£,21,modelling,,,
284122854_31,I will 3d modeling and animation,£,5,modelling,,,
278574583_32,I will sculpt 3d models for printing,£,9,modelling,,,
154223242_33,I will do label or box packaging design,£,42,modelling,,,
224606247_34,"I will do 3d cad modeling, cad design, 3d printing, stl, dxf, obj",£,9,modelling,,,
306522435_35,I will model high quality cute 3d creature models for 3d printing,£,9,modelling,,,
307709952_36,"I will sculpt miniatures, figurines and creatures for 3d printing",£,5,modelling,,,
186955431_37,I will design 3d model jewelry and rendering,£,17,modelling,,,
125909128_38,I will make a ring for printing,£,13,modelling,,,
140545625_39,"I will make perfect box dieline, box template for your box",£,9,modelling,,,
112626867_40,I will design professional book or ebook cover,£,9,modelling,,,
263948333_41,I will do 3d cad modeling and product design in solidworks,£,13,modelling,,,
295617713_42,"I will do 3d modeling,and 2d drawin in solidwork, autocad,onshape",£,5,modelling,,,
280462544_43,I will create a custom funko pop for 3d printing,£,17,modelling,,,
280634498_44,I will create 3d cad models for 3d printing,£,21,modelling,,,
107470369_45,"I will do 3d print design, molding, cad design in fusion 360",£,9,modelling,,,
149391995_46,"I will do 3d modeling, product design, texturing and rendering",£,9,modelling,,,
97975091_47,"I will sculpt any toy, figurine 3d model in zbrush for 3d printing",£,34,modelling,,,
182801673_0,I will supply a high quality 3d printing service for custom parts or mass production,£,13,printing,,,
209508606_0,I will 3d print large format in 4k resin,£,30,printing,,,
200849292_0,I will do 3d printing and small series production,£,42,printing,,,
264466093_0,I will 3d print and paint your model,£,84,printing,,,
297406829_0,"I will 3d print your files and models, then ship them to you",£,13,printing,,,
246261587_1,"I will 3d print stl, 3mf, obj, files, and ship the item to you",£,21,printing,,,
169707177_2,I will make any 3d model for 3d printing,£,101,printing,,,
104867823_3,I will sculpt a 3d model and character for 3d printing,£,51,printing,,,
121112011_4,I will design your product for 3d printing,£,420,printing,,,
278435533_5,I will 3d model custom female anime action figure for printing,£,30,printing,,,
244890078_6,"I will support your miniatures, figures for 3d printing",£,5,printing,,,
126515446_7,I will do 3d modeling for 3d printing and for games VR ar,£,42,printing,,,
189959753_8,I will create character for 3d printing,£,21,printing,,,
122154771_9,"I will do 3d print design, molding, and engineering drawings",£,13,printing,,,
284100869_10,"I will quickly fix, repair, optimize and prepare your stl for 3d printing",£,5,printing,,,
254684512_11,I will 3d print your project using resin sla or fdm technology,£,26,printing,,,
237233580_12,"I will split and slice your model for 3d print, character and toy",£,9,printing,,,
39841700_13,I will 3d model sculpture chatacter human anime for 3d printing,£,55,printing,,,
249092305_14,I will preparation of 3d models for high quality printing,£,5,printing,,,
288091666_15,"I will fix, repair, prepare, model, modify stl file for 3d printing",£,13,printing,,,
172840461_16,I will design 3d models and add supports in cura for 3d printing,£,9,printing,,,
133443619_17,I will design 3d model ready for 3d printing,£,42,printing,,,
250945916_18,I will repair and fix your stl file for 3d printing quickly,£,9,printing,,,
173663188_19,I will design cad model  for 3d printing,£,5,printing,,,
278341397_20,I will sculpt a 3d model ready for 3d printing,£,42,printing,,,
213816275_21,I will design pcb enclosure or product casing for 3d printing,£,13,printing,,,
250134925_22,I will clean your scans and models for 3d printing,£,26,printing,,,
175815482_23,"I will create 3d cad model for 3d printing,edit stl file",£,5,printing,,,
306522435_24,I will model high quality cute 3d creature models for 3d printing,£,9,printing,,,
278574583_25,I will sculpt 3d models for printing,£,9,printing,,,
268776017_26,I will make model for 3d printing,£,26,printing,,,
300053096_27,I will clean up your scans and models for 3d printing,£,17,printing,,,
277936054_28,"I will sculpt 3d model of 3d miniature for 3d printing, warhammer",£,26,printing,,,
261270441_29,I will model anime figurines 3d print ready,£,38,printing,,,
300383460_30,I will design  awesome wireframe 3d print models,£,30,printing,,,
112068943_31,I will do 3d models or detailed character sculpture for 3d printing,£,21,printing,,,
277247703_32,I will 3d print your miniatures for you on an 8k resin printer,£,21,printing,,,
202757994_33,I will create your funko pop for 3d printing,£,21,printing,,,
191592023_34,I will create any kind of 3d model for printing,£,30,printing,,,
307709952_35,"I will sculpt miniatures, figurines and creatures for 3d printing",£,5,printing,,,
107473358_36,"I will design products for 3d printing, mfg and edit stl files",£,9,printing,,,
247913676_37,"I will sculpt miniatures or bits for 3d printing, warhammer, dnd",£,26,printing,,,
294085503_38,I will support your 3d models and miniatures for resin 3d printing,£,5,printing,,,
255841740_39,"I will model and design 3d shoe, slipper, boots, heels, 3d printing stl and rendering",£,17,printing,,,
311978810_40,I will design 3d model and create ready stl file for 3d printing using tinkercad,£,5,printing,,,
307581238_41,I will design 2d and 3d models with solidworks for 3d printing,£,5,printing,,,
241931589_42,"I will create 3d models, 3d objects, stl for 3d print, renderings",£,5,printing,,,
280462544_43,I will create a custom funko pop for 3d printing,£,17,printing,,,
155038886_44,I will sculpt a 3d character or model for 3d printing,£,51,printing,,,
83770991_45,I will do 3d models for 3d print,£,126,printing,,,
254257096_46,I will design your products for 3d printing and resin printing,£,21,printing,,,
224606247_47,"I will do 3d cad modeling, cad design, 3d printing, stl, dxf, obj",£,9,printing,,,
264466093_0,I will 3d print and paint your model,£,84,painting,,,
237563485_1,I will hand paint stylised textures for your 3d asset,£,26,painting,,,
260035360_2,I will paint miniatures as well as 3d printing or a combination of both,£,80,painting,,,
286869300_3,I will 3d print and paint your model,£,21,painting,,,
254995938_4,I will draw and paint characters in 3d style,£,84,painting,,,
223365141_5,I will create 3d stylised hand painted assets for your project,£,34,painting,,,
287397092_6,I will 3d print and paint your figure,£,42,painting,,,
178231215_7,I will 3d print and or paint your minis,£,5,painting,,,
265161026_8,I will print and paint any 3d model you send to me,£,47,painting,,,
266704304_9,I will 3d print and paint minis so you can play games in full color,£,13,painting,,,
294717503_10,I will made 2d matte painting turn in to 3d realistic scene,£,5,painting,,,
269669959_11,I will do stylized hand painted texture for your 3d model,£,26,painting,,,
271288748_12,"I will hand paint miniatures, sculptures and 3d prints",£,51,painting,,,
296614225_13,"I will paint miniatures warhammer, 3d models, tabletop, boardgames",£,9,painting,,,
302069486_14,I will 3d print and paint your model,£,51,painting,,,
266193697_15,I will 3d print or paint custom figures and models,£,68,painting,,,
195690667_16,"I will create environment concept, 3d modeling and matte painting in any style",£,59,painting,,,
120187763_17,"I will make awesome  3d, 2d digital paintings",£,5,painting,,,
147374999_18,"I will paint fantasy, scifi concept art 3d and 2d",£,26,painting,,,
186855402_19,I will create lowpoly 3d assets with hand painted texture,£,5,painting,,,
282682202_20,"I will paint, texture your 3d model for animation, packaging, nft",£,5,painting,,,
222288637_21,I will create realistic matte painting 3d and 2d,£,252,painting,,,
296422658_22,I will hand painting textures for stylized 3d characters,£,93,painting,,,
232823636_23,I will paint your 3d models,£,17,painting,,,
151250174_24,I will design modern 2d 3d car wash auto detailing auto paint and racing logo,£,42,painting,,,
268260453_25,I will model and texture paint low poly 3d models in blender,£,9,painting,,,
229730798_26,I will hand paint your pet portrait with 3d paste in a cute style,£,84,painting,,,
195655335_27,I will 3d print and paint any type of prototype or accessory for every project,£,42,painting,,,
210056351_28,I will hand paint and texture your 3d assets,£,13,painting,,,
249061115_29,"I will make top quality 3d characters for animation,games, 3d paint",£,51,painting,,,
288196142_30,I will 3d print your figurines and paint them,£,9,painting,,,
205741394_31,I will 3d print and paint anything,£,13,painting,,,
300434244_32,I will 3d print and paint your model,£,9,painting,,,
296962300_33,I will logo animation with 3d paint balloons,£,9,painting,,,
237296779_34,"I will do matte painting for vfx, commercial tv series in 2d,3d",£,59,painting,,,
270286132_35,I will paint any games workshop 3rd party or 3d printed models,£,5,painting,,,
179555227_36,I will do colorful digital paintings with 3d illusion,£,9,painting,,,
282721186_37,I will paint your 3d printed figure,£,84,painting,,,
297969215_38,I will create stylized 3d low poly models and hand paint  textures,£,13,painting,,,
143143092_39,I will make custom 3d models and paint them,£,42,painting,,,
277540849_40,I will low poly 3d modeling and uv map painting,£,5,painting,,,
301535196_41,I will draw a smudge painting 3d caricature from your photo in 24 hours,£,5,painting,,,
291193878_42,"I will do 3d miniature, warhammer 40k miniature painting dnd",£,84,painting,,,
305687719_43,"I will do 2d visual effects, 3d vfx, digital fx, matte painting, motion graphics",£,42,painting,,,
282476228_44,I will create a painting of an environment in 3d blender,£,17,painting,,,
293660346_45,"I will make oil painting, 3d cartoon effects and painting realistic in photoshop",£,9,painting,,,
112670821_46,I will paint logo with 3d animation,£,42,painting,,,
136598349_47,I will make your portrait photo to 3d digital painting art,£,9,painting,,,
